1st_place_medal|1st place medal
kissing_face_with_smiling_eyes|Kissing face with smiling eyes
kitchen_knife|Kitchen knife
kite|Kite
kiwi_fruit|Kiwi fruit
knocked-out_face|Knocked-out face
knot|Knot
koala|Koala
lab_coat|Lab coat
label|Label
lacrosse|Lacrosse
ladder|Ladder
lady_beetle|Lady beetle
laptop|Laptop
large_blue_diamond|Large blue diamond
large_orange_diamond|Large orange diamond
last_quarter_moon|Last quarter moon
last_quarter_moon_face|Last quarter moon face
last_track_button|Last track button
latin_cross|Latin cross
leaf_fluttering_in_wind|Leaf fluttering in wind
leafy_green|Leafy green
ledger|Ledger
left-right_arrow|Left-right arrow
left_arrow|Left arrow
left_arrow_curving_right|Left arrow curving right
left_luggage|Left luggage
left_speech_bubble|Left speech bubble
lemon|Lemon
leo|Leo
leopard|Leopard
level_slider|Level slider
libra|Libra
light_blue_heart|Light blue heart
light_bulb|Light bulb
light_rail|Light rail
lime|Lime
link|Link
linked_paperclips|Linked paperclips
lion|Lion
lipstick|Lipstick
litter_in_bin_sign|Litter in bin sign
lizard|Lizard
llama|Llama
lobster|Lobster
locked|Locked
locked_with_key|Locked with key
locked_with_pen|Locked with pen
locomotive|Locomotive
lollipop|Lollipop
long_drum|Long drum
lotion_bottle|Lotion bottle
lotus|Lotus
loudly_crying_face|Loudly crying face
loudspeaker|Loudspeaker
love_hotel|Love hotel
love_letter|Love letter
low_battery|Low battery
luggage|Luggage
lungs|Lungs
lying_face|Lying face
magic_wand|Magic wand
magnet|Magnet
magnifying_glass_tilted_left|Magnifying glass tilted left
magnifying_glass_tilted_right|Magnifying glass tilted right
mahjong_red_dragon|Mahjong red dragon
male_sign|Male sign
mammoth|Mammoth
man_genie|Man genie
man_with_bunny_ears|Man with bunny ears
man_wrestling|Man wrestling
man_zombie|Man zombie
mango|Mango
mans_shoe|Mans shoe
mantelpiece_clock|Mantelpiece clock
manual_wheelchair|Manual wheelchair
map_of_japan|Map of japan
maple_leaf|Maple leaf
maracas|Maracas
martial_arts_uniform|Martial arts uniform
mate|Mate
meat_on_bone|Meat on bone
mechanical_arm|Mechanical arm
mechanical_leg|Mechanical leg
medical_symbol|Medical symbol
megaphone|Megaphone
melon|Melon
melting_face|Melting face
memo|Memo
mending_heart|Mending heart
menorah|Menorah
mens_room|Mens room
metro|Metro
microbe|Microbe
microphone|Microphone
microscope|Microscope
military_helmet|Military helmet
military_medal|Military medal
milky_way|Milky way
minibus|Minibus
minus|Minus
mirror|Mirror
mirror_ball|Mirror ball
moai|Moai
mobile_phone|Mobile phone
mobile_phone_off|Mobile phone off
mobile_phone_with_arrow|Mobile phone with arrow
money-mouth_face|Money-mouth face
money_bag|Money bag
money_with_wings|Money with wings
monkey|Monkey
monkey_face|Monkey face
monorail|Monorail
moon_cake|Moon cake
moon_viewing_ceremony|Moon viewing ceremony
moose|Moose
mosque|Mosque
mosquito|Mosquito
motor_boat|Motor boat
motor_scooter|Motor scooter
motorcycle|Motorcycle
motorized_wheelchair|Motorized wheelchair
motorway|Motorway
mount_fuji|Mount fuji
mountain|Mountain
mountain_cableway|Mountain cableway
mountain_railway|Mountain railway
mouse|Mouse
mouse_face|Mouse face
mouse_trap|Mouse trap
mouth|Mouth
movie_camera|Movie camera
multiply|Multiply
mushroom|Mushroom
musical_keyboard|Musical keyboard
musical_note|Musical note
musical_notes|Musical notes
musical_score|Musical score
muted_speaker|Muted speaker
name_badge|Name badge
national_park|National park
nauseated_face|Nauseated face
nazar_amulet|Nazar amulet
necktie|Necktie
nerd_face|Nerd face
nest_with_eggs|Nest with eggs
nesting_dolls|Nesting dolls
neutral_face|Neutral face
new_button|New button
new_moon|New moon
new_moon_face|New moon face
newspaper|Newspaper
next_track_button|Next track button
ng_button|Ng button
night_with_stars|Night with stars
nine-thirty|Nine-thirty
